19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (00EA9A28)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (00EA9830)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (00EA98D8)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (00EA9980)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Static' added. (00EA9788)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (00EA9AD0)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (00EA90F8)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (00EA94E8)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (00EA9248)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (00EA9398)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (00EA9440)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (00EA9590)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (00EA9638)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (00EA96E0)
19/02/2022 15:06:20 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
19/02/2022 15:06:20 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (0BC22778)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'TaharezLook/FrameWindow' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'TaharezLook/Titlebar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/SystemButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/Editbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'TaharezLook/MultiLineEditbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Menubar' using base type 'CEGUI/Menubar', window renderer 'Falagard/Menubar' Look'N'Feel 'TaharezLook/Menubar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/PopupMenu' using base type 'CEGUI/PopupMenu', window renderer 'Falagard/PopupMenu' Look'N'Feel 'TaharezLook/PopupMenu' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/MenuItem' using base type 'CEGUI/MenuItem', window renderer 'Falagard/MenuItem' Look'N'Feel 'TaharezLook/MenuItem' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/AlternateProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/AltProgressBar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/ProgressBar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/VUMeter' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'TaharezLook/VUMeter' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/VerticalScrollbar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/HorizontalScrollbar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/VerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/VerticalScrollbarThumb' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/HorizontalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/HorizontalScrollbarThumb' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'TaharezLook/LargeVerticalScrollbar' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/LargeVerticalScrollbarThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/LargeVerticalScrollbarThumb' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButton' using base type 'CEGUI/TabButton', window renderer 'Falagard/TabButton' Look'N'Feel 'TaharezLook/TabButton' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/TabControl' using base type 'CEGUI/TabControl', window renderer 'Falagard/TabControl' Look'N'Feel 'TaharezLook/TabControl' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/TabContentPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabContentPane' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/TabButtonPane' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/TabButtonPane' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ComboDropList' using base type 'CEGUI/ComboDropList', window renderer 'Falagard/Listbox' Look'N'Feel 'TaharezLook/ComboDropList' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ComboEditbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'TaharezLook/ComboEditbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Combobox' using base type 'CEGUI/Combobox', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/Combobox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Listbox' using base type 'CEGUI/Listbox', window renderer 'Falagard/Listbox' Look'N'Feel 'TaharezLook/Listbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ListHeader' using base type 'CEGUI/ListHeader', window renderer 'Falagard/ListHeader' Look'N'Feel 'TaharezLook/ListHeader' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ListHeaderSegment' using base type 'CEGUI/ListHeaderSegment', window renderer 'Falagard/ListHeaderSegment' Look'N'Feel 'TaharezLook/ListHeaderSegment' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/MultiColumnList' using base type 'CEGUI/MultiColumnList', window renderer 'Falagard/MultiColumnList' Look'N'Feel 'TaharezLook/MultiColumnList' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Slider' using base type 'CEGUI/Slider', window renderer 'Falagard/Slider' Look'N'Feel 'TaharezLook/Slider' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/SliderThumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/SliderThumb' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ScrollablePane' using base type 'CEGUI/ScrollablePane', window renderer 'Falagard/ScrollablePane' Look'N'Feel 'TaharezLook/ScrollablePane' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Spinner' using base type 'CEGUI/Spinner', window renderer 'Falagard/Default' Look'N'Feel 'TaharezLook/Spinner' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/Tooltip' using base type 'CEGUI/Tooltip', window renderer 'Falagard/Tooltip' Look'N'Feel 'TaharezLook/Tooltip' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/StaticImage' using base type 'DefaultWindow', window renderer 'Falagard/StaticImage' Look'N'Feel 'TaharezLook/StaticImage' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/StaticText' using base type 'DefaultWindow', window renderer 'Falagard/StaticText' Look'N'Feel 'TaharezLook/StaticText' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ItemListbox' using base type 'CEGUI/ItemListbox', window renderer 'Falagard/ItemListbox' Look'N'Feel 'TaharezLook/ItemListbox' and RenderEffect ''. (0077CF80)
19/02/2022 15:06:20 (Std) 	Creating falagard mapping for type 'TaharezLook/ListboxItem' using base type 'CEGUI/ItemEntry', window renderer 'Falagard/ItemEntry' Look'N'Feel 'TaharezLook/ListboxItem' and RenderEffect ''. (0077CF80)
